"","lon_grid","lat_grid","ano","mes","xco2_mean","uncertanty_mean","xco2_sd","nobs","xco2_se"
"342",-50.75,-16,2015,2,395.467132568359,0.496882572770119,0,2,0
"343",-50.75,-8.75,2016,2,403.288787841797,0.364263080060482,0,20,0
"344",-50.75,-8.5,2016,2,403.152191162109,0.36210275049937,0,59,0
"345",-50.75,-8.25,2016,2,403.815124511719,0.370813116983131,0,27,0
"346",-50.75,-2,2016,2,399.427703857422,0.401859115809202,0,16,0
"347",-50.5,-23.75,2015,2,395.773559570312,0.478439390659332,0,4,0
"348",-50.5,-23.75,2016,2,400.464721679688,0.591132491827011,0,2,0
"349",-50.5,-23.5,2015,2,396.079925537109,0.609086483716965,0,2,0
"350",-50.5,-23,2016,2,400.951171875,0.648436963558197,NA,1,NA
"351",-50.5,-16.75,2015,2,395.024810791016,0.42941290140152,NA,1,NA
"352",-50.5,-11.25,2015,2,395.998565673828,0.451575964689255,0,11,0
"353",-50.5,-11,2016,2,403.500274658203,0.536003895103931,0,12,0
"354",-50.5,-10.75,2016,2,400.9111328125,0.585432112216949,NA,1,NA
"355",-50.5,-10.25,2016,2,401.686401367188,0.466674476861954,0,2,0
